,微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置,,
4788,JC6eCzqCd,梅河政法,男,吉林,383,5644,梅河政法:#秘鲁将购买中国新冠疫苗#【#秘鲁宣布购买中国国药集团新冠灭活疫苗#】秘鲁总统萨加斯蒂6日在向全国发表电视讲话时宣布，秘鲁已与中国国药集团达成购买该集团生产的新冠灭活疫苗协议，首批100万剂疫苗将于本月抵达秘鲁。 萨加斯蒂还表示，中国国药集团在秘鲁进行的新冠灭活疫苗III期临床试验显示了疫苗的有效性。 萨加斯蒂同时还宣布，秘鲁6日也与英国阿斯利康制药公司签订了购买新冠疫苗合同。根据合同，阿斯利康将从今年9月起提供1400万剂疫苗。 秘鲁卫生部5日公布的数据显示，该国当日新增新冠确诊病例960例，累计确诊1022018例；新增死亡病例52例，累计死亡37925例。 自2020年3月初秘鲁暴发新冠疫情以来，中国和秘鲁一直密切合作。中国是第一个向秘鲁捐助医疗用品和设备的国家，并派遣了一支医疗队分享经验。去年9月初，国药集团新冠疫苗临床试验团队抵达秘鲁，与秘鲁卡耶塔诺埃雷迪亚大学和圣马科斯国立大学合作进行临床试验，这些试验证明了疫苗的有效性。（图片为资料图） ,无,2021/1/7 18:48,无,2,0,5,无,"秘鲁,新冠,疫苗,集团,中国",
4789,JC6fWERaN,青春北京,男,北京,956,2121731,青春北京:#秘鲁将购买中国新冠疫苗#【#秘鲁宣布购买中国国药集团新冠灭活疫苗#】秘鲁总统萨加斯蒂6日在向全国发表电视讲话时宣布，秘鲁已与中国国药集团达成购买该集团生产的新冠灭活疫苗协议，首批100万剂疫苗将于本月抵达秘鲁。 萨加斯蒂还表示，中国国药集团在秘鲁进行的新冠灭活疫苗III期临床试验显示了疫苗的有效性。 萨加斯蒂同时还宣布，秘鲁6日也与英国阿斯利康制药公司签订了购买新冠疫苗合同。根据合同，阿斯利康将从今年9月起提供1400万剂疫苗。 秘鲁卫生部5日公布的数据显示，该国当日新增新冠确诊病例960例，累计确诊1022018例；新增死亡病例52例，累计死亡37925例。 自2020年3月初秘鲁暴发新冠疫情以来，中国和秘鲁一直密切合作。中国是第一个向秘鲁捐助医疗用品和设备的国家，并派遣了一支医疗队分享经验。去年9月初，国药集团新冠疫苗临床试验团队抵达秘鲁，与秘鲁卡耶塔诺埃雷迪亚大学和圣马科斯国立大学合作进行临床试验，这些试验证明了疫苗的有效性。（图片为资料图） 原图 ,无,2021/1/7 18:51,京团儿iPhone客户端,3,0,0,无,"秘鲁,新冠,疫苗,集团,中国",
4790,JC6BAsxXP,中新经纬,男,北京,2475,10623962,中新经纬:【#中国正在制定疫苗行业发展规划#】中国疫苗行业协会会长封多佳接受中新经纬专访时表示，中国疫苗行业整体水平已经跻身世界先进行列。对于中国疫苗行业出海，封多佳认为，以新冠疫苗为代表，中国疫苗正在以更大的规模、更快的速度走向世界。封多佳指出，现在正在制定第一部纳入国家整体战略的疫苗行业发展规划(十四五规划)。该行业的发展突出体现战略性和公益性，在服务全球公共卫生和服务“健康中国”战略方面正在日益发挥重要作用。#经纬原创# [组图共2张] 原图 ,无,2021/1/7 19:45,微博 weibo.com,20,2,3,无,"疫苗,行业,中国,发展,整体",
4791,JCMyLgH5e,每日经济新闻,男,上海,728,47198732,每日经济新闻:#世卫正在评估中国新冠疫苗#【#世卫组织正在评估两款中国新冠疫苗#】世界卫生组织总干事谭德塞在1月11日举行的例行记者会上透露，世卫组织一个团队正在与中国国药集团和中国科兴公司合作，评估两家企业开发的相关新冠疫苗是否符合国际质量生产规范，以考虑将其列入世卫组织的紧急使用清单。谭德塞称，他将在下周举行的世卫组织执行委员会上鼓励各国兑现就全球新冠疫苗计划所做的承诺，呼吁国际社会在未来100天共同努力，启动对所有国家的医护人员、高风险群体进行新冠疫苗接种。同时，世卫组织要求全球相关药企迅速提交必要的数据，供世卫组织审核，以将相关新冠疫苗列入紧急使用清单。据悉，已经有多个国家批准了中国企业研发的新冠疫苗，或与中方签订了疫苗采购协议，着手对本国民众进行免疫接种。（人民日报，TY） 原图 ,无,2021/1/12 6:33,微博 weibo.com,57,17,10,无,"疫苗,世卫,新冠,组织,中国",
4792,JCNdvc1xn,奔跑的何先森,男,北京,92,198768,奔跑的何先森:【张文宏：河北疫情的控制将是毫无疑问地在1个月左右获得胜利】今天凌晨，复旦大学附属华山医院张文宏医生在个人微博中说：“在中国，我们具有最为强大的非医学干预策略（比如河北疫情的控制将是毫无疑问地在1个月左右获得胜利），面对全球在今年年底大概率还不能有效控制的疫情压力下，如果我们能够最大程度地推广安全且有效的疫苗接种，我们就能逐渐建立对新冠病毒的免疫屏障，这是我们未来的必然选择。”#科学辟谣##关注新冠肺炎# ,无,2021/1/12 8:13,iPhone 12,6,0,1,无,"新冠,控制,疫情,河北,病毒",
4793,JCNqIcJCw,天津市人民检察院,男,天津,557,65093,天津市人民检察院:【#印尼给中国科兴新冠疫苗紧急使用许可#】印度尼西亚药品食品监督管理局11日宣布，给予中国科兴公司研发的克尔来福新冠疫苗紧急使用许可。 印尼药品食品监督管理局局长彭妮·卢基托当天在新闻发布会上说，这款疫苗已在印尼万隆市完成了Ⅲ期临床试验，有效性高于世界卫生组织规定的50%门槛。根据这一结果，并参考科兴疫苗在巴西和土耳其的临床试验，印尼食品药品监督管理局决定给予其紧急使用许可，这也是印尼首次给予新冠疫苗使用许可。 印尼总统佐科上周宣布该国将从本周起给国民接种新冠疫苗。他1月7日在个人社交账号上说，如果接种疫苗的相关手续获批，政府将分阶段为全民免费接种疫苗。 印尼新冠疫情不断蔓延，新增确诊病例居高不下。印尼国家抗灾署11日发布的疫情数据显示，该国过去24小时新增确诊8692例，连续6天高于8000例，累计确诊836718例；累计死亡24343例；累计治愈688739例。（图片为资料图） 原图 ,无,2021/1/12 8:46,微博 weibo.com,18,0,8,无,"印尼,疫苗,新冠,科兴,食品",
4794,JCOKb91wE,深报视听,男,广东,293,300433,深报视听:【#印尼紧急批准使用中国新冠疫苗#】1月11日，印度尼西亚药品食品监督管理局宣布，给予中国科兴研发的新冠疫苗紧急使用许可。印尼药品食品监督管理局局长表示该疫苗已在印尼完成了三期实验，疫苗有效性高于世界卫生组织规定的50%的门槛。批准中国科兴疫苗的使用也是印尼首次给予新冠疫苗使用许可。 ,无,2021/1/12 12:07,微博 weibo.com,2,1,0,无,"疫苗,印尼,使用,中国,管理局",
4795,JCPosl8q8,国际金融报,男,上海,230,1653780,国际金融报:【#乌克兰将采购500万剂中国新冠疫苗#：将在3月获得科兴生物制造的新冠疫苗】乌克兰制药集团莱克西姆（Lekhim）官网发布消息称，已与中国科兴生物就2021年上半年采购500万剂新冠疫苗签署合同。公告还称，乌克兰将在3月获得科兴生物制造的新冠疫苗，2022年将在乌克兰企业“Lekhim-哈尔科夫”建立疫苗生产线。Lekhim与科兴生物还就新冠疫苗在乌克兰分销和本地化生产达成为期五年的合作协议。 @国是直通车 ,无,2021/1/12 13:46,微博 weibo.com,2,0,0,无,"疫苗,新冠,生物,科兴,制造",
4796,JCPNo15E9,连淮徐盐,男,江苏,7968,1699175,连淮徐盐:【#乌克兰将采购500万剂中国新冠疫苗#】据俄罗斯卫星通讯社报道，乌克兰制药集团莱克西姆（Lekhim）官网11日发布消息称，已与中国科兴生物就2021年上半年采购500万剂新冠疫苗签署合同。公告还称，乌克兰将在3月获得科兴生物制造的新冠疫苗，2022年将在乌克兰企业“Lekhim-哈尔科夫”建立疫苗生产线。Lekhim与科兴生物还就新冠疫苗在乌克兰分销和本地化生产达成为期五年的合作协议。#国是论坛# 原图 ,无,2021/1/12 14:47,小米手机,3,2,3,无,"疫苗,新冠,科兴,生物,国是",
4797,JCQ14DZiE,四川农业大学商学院,男,四川,725,4229,四川农业大学商学院:#商院经济眼##乌克兰公司采购500万剂中国新冠疫苗#【乌克兰制药公司：2021年上半年采购500万剂中国新冠疫苗】俄罗斯卫星通讯社报道称，乌克兰制药集团莱克西姆（Lekhim）官方网站11日发布消息，已与中国科兴生物就2021年上半年采购500万剂新冠疫苗签署合同。公告称：“乌克兰2021年3月将获得科兴生物制造的新冠疫苗，2022年将在乌克兰企业‘Lekhim-哈尔科夫’建立疫苗生产线。Lekhim与科兴生物还就新冠疫苗在乌克兰分销和本地化生产达成为期五年的合作协议。”2020年12月30日，乌克兰总统办公室曾透露，乌克兰与中国就购买新冠疫苗签署合同，并希望在“尽可能短时间”内开展接种。总统办公室援引泽连斯基的话说：“我们进行了非常积极及持续数月的谈判，并取得了实质结果。”（海外网 ；CK）（via.每日经济新闻） 原图 ,无,2021/1/12 15:21,小米10,13,9,8,无,"疫苗,新冠,中国,取得,经济",
4798,JCQiVB1e3,遇见刀客,男,福建,445,54581,遇见刀客:乌克兰将采购500万剂中国新冠疫苗据俄罗斯卫星通讯社报道，乌克兰制药集团莱克西姆（Lekhim）官网11日发布消息称，已与中国科兴生物就2021年上半年采购500万剂新冠疫苗签署合同。公告还称，乌克兰将在3月获得科兴生物制造的新冠疫苗，2022年将在乌克兰企业“Lekhim-哈尔科夫”建立疫苗生产线。Lekhim与科兴生物还就新冠疫苗在乌克兰分销和本地化生产达成为期五年的合作协议。#特朗普承认自己对国会骚乱负部分责任##v光计划# ,无,2021/1/12 16:05,无,8,0,3,无,"疫苗,新冠,科兴,生物,责任",
4799,JCQkZxWwe,潍坊市人民检察院,男,山东,368,26198,潍坊市人民检察院:【#新冠疫苗保护效力79.34％意味着什么#】目前，我国正有序推进重点人群新冠疫苗接种。这次接种的新冠灭活疫苗，据Ⅲ期临床试验期中数据，其保护效力为79.34%，意味着79.34% 的受试者因接种疫苗免于被感染。保护效力越高，就有更高比例的接种者可以免于被感染，就可以更快更高效实现群体免疫。 ,无,2021/1/12 16:10,微博 weibo.com,1,0,4,无,"接种,疫苗,新冠,保护,效力",
4800,JCQPBuFDo,快兰斯24小时财经直播,女,海外,535,533934,快兰斯24小时财经直播:实时播报：【第三批1500万剂中国新冠疫苗抵达印尼】 据印度尼西亚媒体报道，当地时间1月12日，来自中国的第三批1500万剂新冠疫苗抵达印尼。印尼新冠肺炎小组负责人多尼将军介绍，印尼宗教部长和印尼鹰航的负责人在雅加达国际机场接收了这批疫苗。多尼表示，他非常高兴接到第三批疫苗，因为政府可以为更多的民众接种。（央视新闻） ,无,2021/1/12 17:26,微博 weibo.com,3,3,5,无,"印尼,疫苗,新冠,负责人,接种",
4801,JCR19aCD9,新华国际,男,北京,700,15465729,新华国际:【接种中国疫苗？“是的，我愿意”】新冠疫情暴发以来，中国全力以赴开展疫苗研发，积极推进抗疫国际合作，坚定履行将疫苗作为全球公共产品的承诺。迄今的临床试验数据显示，中国新冠疫苗具有较好的安全性和有效性。在拉美、非洲、中东、东南亚等地区，从国家政界高层到普通民众，纷纷对中国疫苗报以期待的目光。详情请看： ,无,2021/1/12 17:54,微博视频,24,7,2,无,"中国,疫苗,新冠,国际,地区",
4802,JCSnX9Ly5,连池检察,女,黑龙江,4935,3056,连池检察:【#马来西亚与中企签署新冠疫苗采购协议#】12日，马来西亚制药集团发马公司与中国科兴生物签署新冠疫苗购买协议，马方计划购买1400万剂由科兴生物研发的克尔来福新冠疫苗。签约仪式当日以视频方式举行。发马公司董事经理尤索普介绍称，根据协议，科兴生物将向马方提供疫苗半成品，由发马公司在当地进行疫苗的灌装生产及分销。 ,无,2021/1/12 21:23,OPPO A11x,2,2,0,无,"疫苗,公司,发马,协议,签署",
4803,JCTf6bFrK,下午茶2599,男,山西,1610,146667,下午茶2599:中国#新冠疫苗保护效力79.34％意味着什么#？！目前，我国正有序推进重点人群新冠疫苗接种。这次接种的新冠灭活疫苗，据Ⅲ期临床试验期中数据，其保护效力为79.34%，意味着79.34% 的受试者因接种疫苗免于被感染。保护效力越高，就有更高比例的接种者可以免于被感染，就可以更快更高效实现群体免疫。看解读↓ ,无,2021/1/12 23:34,HUAWEI P20 Pro,1,0,0,无,"接种,疫苗,新冠,保护,效力",
4804,JCTFz2ERL,龙在天涯8333,男,贵州,3345,147056,龙在天涯8333:当地时间1月11日，世卫组织举行新冠肺炎例行发布会，总干事谭德塞表示，日本已于上周末向世卫组织通报发现一种新的变异新冠病毒。《世卫通报：日本发现一种新的变异新冠病毒 中国新冠疫苗或列入世卫紧急使用清单》当地时间1月11日，世卫组织举行新冠肺炎例行发布会，总干事谭德塞表示，日本已于上周末向世卫组织通报发现一种新的变异新冠病毒。 原图 ,无,2021/1/13 0:39,百度App,1,0,0,无,"新冠,世卫,组织,肺炎,病毒",
4805,JCW1kEWhq,余根金,男,海南,2138,23814,余根金:【巴西公布科兴三期数据：对重症保护效力达100% 可减少近80%感染就医】巴西圣保罗州政府当地时间12日公布了中国科兴中维公司新冠病毒灭活疫苗的三期临床结果。临床结果显示，科兴疫苗对新冠重症和住院的保护效力为100%，对需要医疗救治的轻症保护效力为77.96%。布坦坦研究所临床研究医学主任里卡多·帕拉西奥斯12日评价称，科兴疫苗是一种有效的疫苗，其可以通过减少临床症状来控制新冠病毒大流行。科兴疫苗还保持了良好的安全性，没有报告过与疫苗相关的严重不良反应。（环球网） ,无,2021/1/13 6:38,360安全浏览器,1,0,0,无,"科兴,临床,疫苗,新冠,保护",
4806,JD01m4uDu,汐影离殇XJTU,男,陕西,1442,382,汐影离殇XJTU:#印尼总统佐科接种中国新冠疫苗# 科兴生物疫苗在新冠病毒已经泛滥（甚至已经产生广泛变异）的巴西，对高危人群医护人员（这类人群更容易被感染新冠病毒及其变异品种）的保护率，总体上达到50.3%，这真得已经很不错了，毕竟科兴生物疫苗面临的巴西试验样本中不知道有多少感染的是已经变异的新冠病毒。倘若如前所述，是不是意味着科兴生物的疫苗对新冠病毒的潜在变异也具有达到世卫组织要求的有效标准的有效性呢？ ,无,2021/1/13 16:49,分享按钮,1,0,0,无,"新冠,疫苗,变异,病毒,生物",
4807,JD0hKgeSR,凤凰卫视,男,香港,302,14806128,凤凰卫视:【中国疫苗将在马来西亚本地化生产】北京科兴生物12号与马来西亚方通过连线，正式签署新冠疫苗供应协议，马来西亚国防部长、卫生部长及科技创新部长在吉隆坡签约现场见证。北京科兴生物总经理高强介绍，中国灭活新冠疫苗已在土耳其、巴西、印尼等国开展三期试验，证实安全性免疫性良好。去年6月获中国政府授权紧急使用，至今中国已有数百万人接种，预计2月底前中国国内将完成超过2千万人次接种。科技创新部长凯里说，马来西亚政府对中国灭活疫苗在其他国家三期试验功效安全性结果感到满意，很高兴引进1400万剂次中国疫苗半成品，将合作建立马来西亚未来疫苗生产能力。本地民众有望3月底前接种到中国疫苗。疫苗接种是和病毒传播变异赛跑。卫生部总监努尔-希沙姆11号通过社交媒体确定，马来西亚已出现首宗传播力提升70%的英国变种UK B.1.1.7病毒感染者，是一名12月曾经到英国的旅客。卫生部正在对变种病毒感染者进行追踪，并将随时通报。 （凤凰卫视高棉 吉隆坡报道） [组图共3张] 原图 ,无,2021/1/13 17:30,微博 weibo.com,17,6,5,无,"疫苗,中国,马来西亚,接种,试验",
4808,JD0nlbPRO,网络李捕头,男,陕西,1869,591109,网络李捕头:【#印尼总统佐科接种中国新冠疫苗#】1月13日，印度尼西亚总统佐科在电视直播中接种了中国科兴生物研发的新冠疫苗，以增强印尼公众信心。据路透社报道，佐科是该国首名接种疫苗的参与者。此前，印尼食品和药物监督管理局宣布，批准紧急使用科兴新冠疫苗，将优先考虑为医务人员、公务员和其他高危人群接种。疫苗将对印尼公民免费。 ,无,2021/1/13 17:43,HUAWEI P30,1,0,1,无,"疫苗,印尼,接种,新冠,中国",
4809,JD0yx1VQj,爱国这件事,男,浙江,261,145626,爱国这件事:印尼总统佐科接种了中国新冠疫苗，中国的新冠疫苗真的好棒啊！！安全又稳妥，再次为祖国骄傲！cr.环球网 #我国疫情呈现多地局部暴发和零星散发# #俄罗斯一女子体内发现18种变异新冠病毒# #意大利女子19年11月已感染新冠# ,无,2021/1/13 18:11,微博视频,1,0,0,无,"新冠,中国,局部,疫苗,暴发",
4810,JD0yw9Otx,扛旗少年,男,浙江,197,110690,扛旗少年:印尼总统佐科接种了中国新冠疫苗，中国的新冠疫苗真的好棒啊！！安全又稳妥，再次为祖国骄傲！cr.环球网 #我国疫情呈现多地局部暴发和零星散发# #俄罗斯一女子体内发现18种变异新冠病毒# #意大利女子19年11月已感染新冠# ,无,2021/1/13 18:11,微博视频,3,2,0,无,"新冠,中国,局部,疫苗,暴发",
4811,JD0CrBBQ7,中国搜索,男,北京,1417,2694907,中国搜索:【#印尼总统佐科对全国直播接种中国新冠疫苗#】1月13日上午，印度尼西亚总统佐科在雅加达总统府接种了中国科兴公司的克尔来福新冠疫苗，并在电视直播中展示了自己接种疫苗的过程。他是印尼国内接种新冠疫苗第一人。总统医生团队先进行了病历核实、身体健康指标检查等准备工作，对着镜头展示了疫苗包装盒，随后在佐科左臂上注射了新冠疫苗；完成接种之后，佐科获得疫苗注射证书。按计划，14天后，佐科将凭证书接种第二剂疫苗。 （新华国际） ,无,2021/1/13 18:21,微博 weibo.com,6,2,0,无,"疫苗,接种,新冠,总统,中国",
4812,JD0I4goxl,中新视频,男,北京,241,4549313,中新视频:【国家卫健委：#中国新冠疫苗接种已超1000万剂次#】#关注新冠肺炎# 1月13日，国务院联防联控机制举行新闻发布会，国家卫健委疾控局监察专员王斌表示，我国从2020年12月15日开始重点人群新冠病毒疫苗接种工作，接种量不断增加，目前接种剂次已经超过了1000万。多地在接种过程中总结了许多有益做法，总体来看，全国新冠疫苗接种平稳有序。 ,无,2021/1/13 18:34,微博视频,5,0,0,无,"接种,新冠,疫苗,国家,疾控局",
4813,JD0K8b6zO,水之遁甲,男,北京,147,64,水之遁甲:#土耳其# 土鸡采购中国疫苗测试完毕 周末前开始接种土鸡向中国采购的新冠疫苗今天将完成实验室测试，大规模接种工作可望于明天或后天在全国各地展开。土鸡向科兴采购5000万剂疫苗，其中首批300万剂于2020年12月30日送抵安卡拉，随即转送卫生部所属医疗仓储设施中存放，部分样本则交由药品及医疗器材局实验室展开14天测试。自由日报（Hurriyet）报导，如果疫苗测试结果符合土鸡标准，药品及医疗器材局将会核发紧急使用许可。接下来，疫苗将由冷冻卡车送往各省，以确保整个过程冷链配送。土鸡将分4阶段展开疫苗接种工作，最优先群体包括医疗工作者、65岁以上长者、住在养老院和庇护所等公共住宅的成年人。次优先群体包括高风险或必要产业受雇劳工、有至少一种慢性病的50岁以上公民。第3顺位群体则包括50岁以下慢性病患者、年轻成年人、不属于次优先群体的受雇劳工。以上3个群体之外的所有人将第4顺位接种。新冠疫苗需接种两剂，间隔28天，有意进行接种的民众必须在线预约，公民免费施打。不过孕妇、18岁以下公民、过去6个月内染疫康复者不能参与接种。卫生部指出，现阶段不会强制民众施打，但尽可能说服民众大规模接种是当局的目标。卫生部昨天公布疫情通报显示，过去24小时新增9809起新冠肺炎病例、171起死亡病例；累计234万6285例确诊、2万3152例死亡。 ,无,2021/1/13 18:39,微博 weibo.com,1,0,0,无,"接种,疫苗,土鸡,群体,医疗",
4814,JD23m3djN,北京卫视为你喝彩,女,其他,15,5825,北京卫视为你喝彩:#专家解答中国新冠疫苗相关问题# 全球在研的新冠候选疫苗有235款，63款候选疫苗进入了临床研究阶段，其中有15款是中国疫苗。5款进入到三期临床的中国疫苗中，有3家均选择了灭活疫苗路线。那么我们国家的疫苗制备为什么做出这样的选择，灭活疫苗技术路线到底有什么优势呢？戳视频告诉你答案！#为你喝彩# #微博纪录片联盟# ,无,2021/1/13 22:00,微博 weibo.com,1,1,1,无,"疫苗,路线,新冠,中国,选择",
4815,JD2t1x6M7,无心简影,男,重庆,704,747425,无心简影:这医生的抖得……【#印尼总统全国直播接种中国疫苗#】1月13日上午，印度尼西亚总统佐科在雅加达总统府接种了中国的新冠疫苗，并在电视直播中展示了自己接种疫苗的过程。他是印尼国内接种新冠疫苗第一人。完成接种之后，佐科获得疫苗注射证书。按计划，14天后，佐科将凭证书接种第二剂疫苗。 ,无,2021/1/13 23:03,微博 weibo.com,316,13,31,无,"疫苗,接种,中国,总统,印尼",
4816,JD2u8EGaf,自贡共青团,男,四川,1048,393513,自贡共青团:【#印尼总统全国直播接种中国疫苗#】1月13日上午，印度尼西亚总统佐科在雅加达总统府接种了中国的新冠疫苗，并在电视直播中展示了自己接种疫苗的过程。他是印尼国内接种新冠疫苗第一人。完成接种之后，佐科获得疫苗注射证书。按计划，14天后，佐科将凭证书接种第二剂疫苗。 ,无,2021/1/13 23:06,iPhone客户端,0,2,0,无,"疫苗,接种,中国,总统,印尼",
4817,JD2vjiXyT,滴血雄狮A,男,广东,382,5303,滴血雄狮A:#中国崛起超越美国## 7 关于疫苗的争论，这里就有些政治色彩，意识形态的味道里面了。巴西公布的中国科兴公司新冠疫苗“克尔来福保护率和土耳其公布的类似，78%是不错的传统疫苗有效率指标，相当于传播率降成五分之一。但是后来很可能因为有政治因素，改了标准，在巴西出现很多个标准条件下的数据，有效率是50.3%，勉强达到世卫组织50%的标准，但是这样给人必然是不怎么样有效果的感觉。 而这里有中重症有效率100%，这个的意思就是打了疫苗实验数据是没有一个让有中重症的患者，也就是就算有感染的也是轻症，也就是没啥事。巴西公布的数据搞的不断推迟又总是闹幺蛾子，可以看的出来巴西的意识形态问题，巴西总统是亲美派，而圣保罗州州长则是他的对手。这段时间可以看的出来，国内的舆论基本是，美国的疫苗副作用大，不过人家有效率的确是高，但毕竟是第一次新技术路线的疫苗，副作用那些是不确定的，加上这次临床试验时间太快，有顾虑是好理解的，尤其是在国内基本不会感染病毒的风险情况下，不确定性的副作用显得风险收益率不划算。 而在国外，则也开始了对中国的疫苗抹黑舆论攻势，说中国的疫苗有效率那么低，副作用还大，同样的套路开始了，美国那些发达国家也基本不会用中国的疫苗，但中国对于引进外国的疫苗是保持开放态度的，复星正在做。对于这次疫情，什么事都要搞成意识形态上来，真的是当下的现状，戴个口罩都要扯上什么自由之类的，自由和民主才能控制病毒之类的话，真的是无法理解，科学问题都不能科学对待。这就是当下的现状吧 原图 ,无,2021/1/13 23:08,微博 weibo.com,4,0,4,无,"疫苗,中国,巴西,副作用,有效率",
4818,JD5xbk7Fp,宋中清主任律师,男,北京,8948,200311,宋中清主任律师:#肺炎[超话]# 【#美国记者直播疫情现状哭成泪人# ：这太让人痛心了】12日，目睹加州殡仪馆和医院因新冠病例激增而不堪重负的景象后，CNN记者萨拉•西德纳直播连线时情绪失控，一度泣不成声。她说：“这是我去过的第十家医院，在看到这些家庭因为新冠而遭受的一切后，我心痛难耐，痛到了深处”。#美国新冠大屠杀# Не сдержала слез. Журналистка CNN Сара Сиднер расплакалась во время прямой трансляции из больницы в Калифорнии. #武契奇说中国新冠疫苗质量极高就是小贵# ,无,2021/1/14 6:51,肺炎超话,4,0,7,无,"新冠,医院,直播,肺炎,记者",
4819,JD64Cg5h9,每日经济新闻,男,上海,728,47198738,每日经济新闻:【#阿尔及利亚决定采购中国新冠疫苗#】阿尔及利亚新闻部长、政府发言人阿马尔·贝尔希摩尔13日宣布，阿尔及利亚将从中国采购新冠疫苗，首批疫苗预计在一月底之前运达。阿马尔是在当天政府部长级会议结束后透露这一消息的。据悉，当天的会议主要讨论了疫苗采购计划，以应对该国面临的严峻防疫形势。据了解，预计在本月底前阿尔及利亚将开始推行全民新冠疫苗接种。（央视新闻；CK） 原图 ,无,2021/1/14 8:14,微博 weibo.com,29,9,8,无,"疫苗,阿尔及利亚,新冠,会议,采购",
4820,JD6ayEdT1,朝天椒队长,男,海外,270,4941,朝天椒队长:#蚂蚁财富[超话]#注意看第一条，放宽心🙈专业的事交给专业的人[中国赞]1.1月11日，机构抱团股高位调整，但傅鹏博、谢治宇等明星基金经理管理的基金净值却不跌反升。傅鹏博管理的睿远成长价值A估算净值跌幅1.48%，当日基金净值实际上涨0.11%。谢治宇管理的兴全合宜A情况也颇为相似，基金估算净值下跌了0.56%，实际净值上涨了0.42%。2.生态环境部称全力推进二氧化碳排放达峰能源工业交通建筑为重点领域。3.供应趋紧，稀土公司利润释放有望加快。4.中汽协：芯片短缺将对2021年一季度的生产造成很大影响；5.工信部：到2023年在10个重点行业打造30个5G全连接工厂；6.铁路部门调整车票预售期为15天。7.中国灭活新冠疫苗的效用前景较乐观。 原图 ,无,2021/1/14 8:28,蚂蚁财富超话,15,0,39,无,"净值,管理,调整,估算,基金",
4821,JD6axxJLw,成都天府国际生物城,女,四川,163,23175,成都天府国际生物城:#早安#【一觉醒来世界发生了什么】1、【#我国新冠疫苗接种已超1000万剂次#】 原图 ,无,2021/1/14 8:28,HUAWEI P20,1,5,5,无,"生物,觉醒,疫苗,新冠,接种",
4822,JD6nkAs8T,中国路网,男,北京,333,1337557,中国路网:#中国路网##路路知多少##人间值得# 【#新冠疫苗费用主要动用医保基金滚存结余#：不影响群众就医待遇】记者昨天从全国医保工作会议了解到：新冠肺炎疫苗费用由医保基金和财政共同负担，主要动用医保基金滚存结余，不影响当期医保基金的收支。此外，通过国家组织对药品、医用耗材集中带量采购等措施，#我国医保基金累计结存首超3万亿元#。 ,无,2021/1/14 9:00,无,1,1,4,无,"基金,动用,费用,新冠,医用",
4823,JD6qNoNpC,红遍天A股,男,广东,1573,719632,红遍天A股:【2021.1.14 天哥独家早盘点睛】 指数的调整是为了更好的上行盘面分析：昨天市场出现了小幅调整，上证指数5分钟86号点是一个背驰，最常规的走法是形成60分钟回调一笔。还有一种走法是，今天直接上推。创业板指数在5分钟中枢区间震荡，还没有背驰，所以现在还没有结束。中线方向还是向上的，我们继续保持多头思路。消息面上，中国疾控中心：春节期间，人员流动大，将增加疫情传播风险，如落实好相关措施，可确保不出现大规模疫情反弹；工信部提出，到2023年，各行业的工业互联网网络基础设施初步建成，在10个重点行业打造30个5G全连接工厂；自2020年以来包括国家电投、国家能源、京能电力等企业共签署9个涉及氢能项目合约，投资总额超过466亿元以上；中国疫苗行业协会：希望到今年年底国产新冠疫苗总产量能达到18亿剂次以上。总体仓位建议：6成技术支撑位：3325技术压力位：3684 当前位置：上证指数60分钟上涨一笔中板块机会：中字头板块走强，需要关注；证券板块前天大涨之后，昨天出现调整，是一个5分钟回调一笔，虽然不是很强，但是中线方向应该还是向上的；有色板块已经很接近重要的支撑区间了，60分钟一笔的尾声阶段，止跌之后还是向上；煤炭虽然现在不能说60分钟一笔止跌了，但是短期下跌空间不大；整体而言，核心板块没有多少下跌空间，所以指数的下跌空间应该不大。 #今日看盘# #财经# #该不该加仓白酒股# 原图 ,无,2021/1/14 9:08,360安全浏览器,111,0,12,无,"板块,指数,没有,出现,疫情",
4824,JD6v5oFHo,望京博格,男,北京,507,238578,望京博格:转：美国的新冠疫苗接种，按第一针计算，已经突破1000万人了；中国的新冠疫苗接种预计也突破1000万人了，因为三天之前的新闻就已经超过900万人了。质疑疫苗严重副作用的人应该闭嘴了，如果新冠疫苗（无论美国还是中国的）有人数较多的严重副作用，媒体、自媒体早就恶炒了。PS：啥时候我才能打上疫苗？ ,无,2021/1/14 9:19,新版微博 weibo.com,10,0,5,无,"疫苗,新冠,接种,美国,副作用",
4825,JDbTaevnP,天行健_8979,男,北京,1778,5940,天行健_8979:#疫苗# 中国疫苗和欧美疫苗哪个更可靠：约旦首相接种中国新冠疫苗。古人讲，王婆卖瓜，自卖自夸。自然地，“自卖自夸”既不好看，也未必好。也就是说，王婆卖瓜不好使。那么，别人的选择才是好的，才是正确的答案。现在，很显然，世界各国的领导人和高层，已经用自己的选择给出了答案！唱衰和贬低中国疫苗的言论可以休矣！ [组图共3张] 原图 ,无,2021/1/14 23:02,无,3,2,1,无,"疫苗,中国,领导人,唱衰,贬低",
