















NMDAR,Hal,Cloz,SPD,NR2B,concentration,inhibited,receptor,effects,subunit
Cu,pH,Zn,香薷,海州,试验,盆栽,显著,可溶性,无色
菌株,脱氨酶,ACC,香薷,细菌,抗性,根际,rDNA,杆菌属,海州
PAHs,紫花苜蓿,黑麦草,土壤,多年生,修复,富集,去除,植物,去除率







减水,减沙,植被,覆盖度,效益,百分比,粗沙,多沙,10,90








监测,诊断,气候,业务,气候系统,气候异常,我国,应用,机理,发展
日数,极端,气候,指数,趋势,综合,II,事件,变化,明显
气旋,热带,降水,夏季,1965,影响,变化趋势,沿海,台风,路径
灾害,低温,异常,冰冻,雨雪,我国,冻雨,位势,有利于,环流
低温,极端,区域性,事件,频次,空间,分析,识别方法,后期,指标




分配率,常规,杂交,吸收,盛花期,结果表明,高于,子棉,强度,吐絮
夏玉米,氮肥,超高产,hm,氮素,300,用量,产量,硝态,施氮量
高产,超高产,分析表明,产量,因素,充足,学组,高产田,粒重,玉米
雄穗,花药,玉米,高密度,抽雄期,密度,发育,花粉,分枝,推迟
灌浆,子粒,倒伏,含水量,植株,脱水,持续时间,减产,上层,层面
秸秆,氮肥,含量,籽粒,还田,夏玉米,淀粉,产量,配施,hm2
叶绿体,种植,基粒,密度,玉米,叶肉,叶脉,显著,数量,细胞

电能,可拓学,质量,评价,物元,种物元,矩阵,分析法,综合,层次
模型,电量,预测,精度,中长期,改进,指标,马尔可夫,对模型,拟合
预测,电价,模型,组合,各个,单一,电力,算例,平方和,校验
负荷,干扰,瞬时,电流,因子,电价,畸变,无功,影响,电网
VSC,起动,HVDC,控制器,过程,换流器,限流,控制策略,设计,系统
恢复,控制,过电压,方法,综述,问题,平衡,以及,电源,自动装置
频率,送端,水轮机,振荡,脉动,水管,仿真,参数,模型,直流
频率,送端,水轮机,振荡,脉动,水管,仿真,参数,模型,直流
互补,水光,模型,以水光,调峰,约束条件,日间,明显提高,结果表明,负荷
负荷,用电,BP,居民,识别,神经网络,用户,基于,算法,奇次
居民,调峰,用户,负荷,用电,电网,激励机制,舒适度,兼顾,电价


乳酸,链球菌,聚赖氨酸,火腿,发酵,抑菌,防腐剂,微生物,复合,醋酸钠
赤霉酸,降解,菌株,球菌,因子,蒙氏肠,环境,优化,效果,影响
乳酸,火腿,防腐剂,复配,聚赖氨酸,0.1,微生物,抑菌,霉素,链球菌
赤霉酸,检测,HPLC,流动,甲醇,流速,波长,柑橘,体积,适宜
火腿,剑门,乳酸菌,葡萄球菌,主要,表层,微生物,法对,耐盐,致腐
菊酯,降解,曲霉,pH,培养基,初始,水量,浓度,锥形瓶,培养
赤霉酸,菌株,降解,筛选,接种,鉴定,16S,rDNA,14,1200mg





脂质体,小鼠,顺铂,游离,浓度,血药浓度,CDDP,注射,纳米,增敏
脂质体,微泡,阳离子,大鼠,质粒,颈动脉,显影,超声,SonoVue,基因
LDDP,CDDP,肿瘤,小鼠,毒性,肺癌,细胞株,脂质,Lewis,0.01
探测,深部,专项,地壳,开展,技术,实验,青藏高原,我国,重大突破
地震波,盆地,峰值,模拟,地震,福州,数值,减灾,图谱,城市规划
紫坪,库仑,应力,汶川,小震,水库,扩散系数,发震,地震,断层
专项,探测,深部,2012,实施,进展,科技,科学,重大,地壳
porosity,permeability,methods,HHIE,LBM,evolution,evaluation,process,anisotropic,ASP
scale,numerical,simulation,earthquake,regional,realistic,parallel,data,study,model
摩擦,玻尔兹曼,机理,10,尺度,摩擦系数,岩石,试样,典型,浸润
antioxidative,glutathione,hepatocellular,carcinoma,activities,CAT,GSH,Px,total,adjacent














GridMol,性能,可视化,建模,优化,分子,计算,Java,3D,功能

GPU,映射,计算,算法,PWP,DFT,势能,加速,求解,瓶颈
可视化,密度,冷冻电,VAT4M,匹配,分割,三维,分析,实现,模型

体系,NWCHEM,核数,生物,研究,片段,处理器,计算,分割,精确

连通,阶单,代数,阶图,单圈,边数,圈图,所成,当阶数,25


阶数,连通,代数,匹配,完美,Jason,极图,大到,图类,确定

双圈,边数,阶图,阶为,中前,三大,邻接,连通,半径,本文




































































波谱,地物,数据,测绘,数据库,试验,波段,遥感,测量,本底
遥感,真实性,检验,产品,观测,星机,体系,国家标准,应用,产品质量
MnCO3,形貌,介孔,MnO2,纺锤体,纳米,葡萄糖,焙烧,反应时间,前驱








教学,创新,培养,意识,讨论式,自主,高等教育法,科技知识,学习,启发式


模型,SP,电池,锂离子,电化学,仿真,耦合,参数,化简,端电压
监测,绝缘,直流,OS,II,系统,装置,操作系统,电阻,STM32F103VET6
绝缘,监测,直流,支路,装置,MCU,系统,接地,电阻,采集
放电,在线,监测,局部,抑制,数字滤波,载波,方法,仿真,结果表明
























detection,mutations,KRAS,BRAF,assay,CCP,multi,step,FRET,DNA



























soils,Cd,Pb,Zn,contents,agricultural,vegetable,heavy,metals,samples

蔬菜,含量,北京市,样品,土壤,限量,span,ChDivSummary,污染,菜地
酸化,土壤,态硫,还原,污染,环江,农田,span,ChDivSummary,SO24










有机,城市,含量,土壤有机,黑碳,土地利用,颗粒,工业区,氧化,分别
煤矸石,Cd,Ni,Cu,Pb,Zn,Cr,土壤环境,元素,抚顺
制图,土壤,数字,开展,研究,工作,土壤调查,回顾总结,方法,至关重要
TN,流失量,稻田,降雨,氮素,田面,施氮后,hm2,流失,铵态氮
放牧,强度,砂质,栗钙土,团聚,只羊,hm2,草原,土壤,水稳性

























ng,萃取,SBSE,100,多氯联苯,水样,单体,解吸,检出限,搅拌棒






























































教材,编写,单元,主线,化工,操作,表述,本文,三传,施教
教材,单元,化工,学习者,操作,相关,疑难,不间断,所述,讲授




























































电极,10,修饰,UA,石墨,RGO,GCE,cm2,mol,氧化

纳米线,ZnO,醋酸,所得,扫描电镜,透射电镜,X射线,50,nm,10




















机器翻译,统计,研讨班,翻译,系统,测试,计算机系,差距,基于,中国科学院自动化研究所





basin,heat,flow,Sichuan,paleo,Paleozoic,Permian,late,Emeishan,basalts








心肌,显像,患者,灌注,左心室,摄取,HCM,放射性,99m,Tc

















lipophilic,monosaccharide,erigearide,isolated,aerial,Erigeron,annuus,Linn,Pers,structure
compounds,corialins,isolated,Coriaria,nepalensis,Wall,established,hydroxy,acetonide,methylbutane















电极,mA,cm,Sn,Cu,CO2,15,沉积,电流密度,还原


















叶片,荧光,肥料,电子传递,氨基酸,可溶性,叶绿素,显著,含量,花青
Fv,光化学,Pn,PS,Fm,效率,春季,Fo,树种,光合
叶片,Pn,砂梨,PS,叶面肥,能量,0.05,0.5,SPAD,爱乐
ALA,叶片,PS,电子传递,低温,受体,胁迫,荧光,西瓜,处理
增加,氨基酸,产量,高丰,大豆,肥料,百粒,PS,Po,m2






















polynomial,paper,stability,switched,systems,tools,testing,multi,variable,sufficient











角膜,移植,HCE,内皮,TE,透明,新西兰,兔眼,CM,DiI













cultivars,lines,genes,soybean,resistant,strains,Rps1a,Rps1c,Rps1k,carry






俯冲,大陆,板片,变质,陆块,构造,岩石圈,地体,挤出,超高压
























资源型,油气,城市,我国,普遍性,大庆,借鉴,进行,发展,探讨
肝素,RRS,瑞利散射,nm,散射,共振,测定,检出限,缓冲溶液,pH
西部,民族,结构调整,地区,产业,十一五,优劣,凸显,产业结构,三次
城市群,发展,集聚,产业群,支撑,双核,产业,重点,网络化,群落
阿魏酸,mm,0.999,ng,分别,咖啡,含量,乙腈,检出限,Shim
餐饮,循环,国外,发展,餐饮行业,经济,餐饮企业,有效,有效途径,探寻
卡那霉素,偶氮,硫酸,10,光度,浓度,测定,检出限,缓冲溶液,加入
EP,UA,检出限,10,7mol,尿酸,肾上腺素,电极,测定,电催化
肝素钠,染料,吩嗪,缓冲溶液,pH,5.02,Britton,Robinson,藏红,比耳


方程,变换,规范变换,孤子,可积,Lax,出该,达布,此达布,解与
治疗,毒株,耐药性,抗病毒,HIV,艾滋病,患者,服药,逆转录酶,依从性








spectroscopy,edge,plasmas,spectrometer,diagnostics,core,LHD,tokamak,visible,bremsstrahlung
plasma,operation,components,design,safe,active,water,cooling,facing,PFCs




















皮质激素,种糖,泼尼松,LTQ,Orbitrap,MS,mm,地塞米松,质谱,检测













Ti4,+-,electrochemical,prepared,doping,LiFePO4,FePO4,xH2O,precursor,method










HA,材料,磷灰石,纳米,羟基,修复,人体,传导性,相容性,综述
PU,微球,预聚,水溶液,CS,合成,浓度,最佳,考察,扩链










































突变,L413P,L559H,蛋白,HERG,转染,表达,致病,细胞,KCNH2





HA,表位,蛋白,流感病毒,抗原,空间,潜在,以往,氨基酸,新型




神经网络,超谱,图像,概率,分类,分类器,特征向量,光谱信息,维数,100




























Formation,volcanic,rocks,Pb,Naozhigou,Ergulazi,Sidaogou,elements,andesite,weighted


碳酸盐岩,海相,油气藏,油气,中西部,埋深,充注,成藏型,盆地,勘探
















WEST,风能,模拟能力,相对误差,模拟,分辨率,中国,资源,高原,模拟系统
干旱,GEVI,SPI,指数,监测,分布,衡量,降水量,方面,更为

mol,m2,Si,SE,大亚湾,水分子,沉积物,间隙,DIN,PO4
SOC,草原,含量,高寒,温带,草原土壤,土壤有机,贡献,m2,变化
风化壳,流域,榕江,磁化率,粒度,pH,螺河,类型,冲积物,粤东

SOC,草原,含量,高寒,温带,草原土壤,土壤有机,贡献,m2,变化








分量,耦合,图像,空间信息,灰度,RGB,增强,彩色图像,阈值,空间












MCP,果实,华优,处理,盛花期,硬度,采收期,137,145,损失率
ClO2,猕猴桃,采前,果实,浓度,冷藏,处理,海沃德,60mg,保鲜

保鲜剂,GA3,水分平衡,01,延长,花瓶,月季,配方,寿命,鲜重



























多样性,活性,乔木林,灌木林,植被,相关性,土壤,草本,S2,S3
根系,代换,表面积,长穗,维数,根数,性状,分形,单株,麦草
库区,芦苇,污染,前景,三峡库区,固体废弃物,消落,应用,富营养化,经济
切枝,黄桷,生物量,植株,强度,20%,收获量,种苗,增量,三峡库区
芦苇,T1,T3,光合,光化学,速率,含水量,T2,土壤,三峡库区















薄膜,入射,能量,DLC,表面,基底,动力学,模拟,原子,过程
coatings,behaviors,patterns,TiN,tribological,spot,patterned,PVD,lined,staggered
曲轴,疲劳,仿真,内燃机,有限元,寿命,模型,轴系,设计阶段,计算结果
离线,在线,油液,监测数据,模块,分析,视情,铁谱,数据管理,实现
















JadH,底物,氨基酸,催化,杰多,结合,霉素,修饰,关键,突变










arrays,carbon,CNT,ceramic,surface,industrial,source,scale,Liquefied,petroleum




acetylene,catalyst,dimerization,CuCl,precipitate,reaction,process,loss,Nieuwland,formation








LOH,7q,gastric,D7S486,region,chromosome,primary,carcinomas,marker,70



R2,RSD,黄酮类,大麦,色谱,测定,化合物,儿茶素,HPLC,槲皮素


耐低,水稻,基因源,特性,土壤,磷素,环境效益,运筹,利用,有效途径
寻甸,基因型,玉溪,新平,穗数,结实率,显著,含量,产量,水稻








































血吸虫,基因组,基因,宿主,测序,日本,血吸虫病,寄生虫,寄生,序列







cover,Holocene,alkanes,pollen,forest,vegetation,grass,pine,Qin,middle
GFGs,diversity,environments,ancient,biogeochemical,functions,microbes,preserved,sediments,rocks


































filter,loss,dB,center,GHz,resonator,insertion,measured,paper,reports
dB,band,duplexer,MHz,performance,developed,delay,HTS,improved,channels
dB,filter,center,frequency,MHz,mm,temperature,10,bandwidth,loss















铁法,混凝,B1,生产废水,最佳,高锰酸钾,生物,处理,维生素,投加
葡萄糖,SBR,DSD,生产废水,投量,停留时间,水力,还原,去除率,好氧共
混凝,投加量,生化,DSD,生产废水,SBR,COD,NH3,色度,基质
活性,Dt,脱氢酶,污泥,Ds,SBR,DSD,COD,30,投加量

























变异,位点,IVF,ICSI,loop,受精率,显著,胚胎,基因组,年龄






based,LUT,telescope,low,sky,step,system,calibration,Lunar,Ultraviolet


多糖,提取,黄芪,液料,比为,响应值,回归方程,得率,温度,率为























GEM,mdr,RRM1,ERK,expression,cell,pathway,resistance,gene,nmol



































配伍,注射剂,双黄连,研究,西药,药物,宜忌,指标,用量,禁忌









冷处理,复合材料,铝基,断裂,力学性能,次数,循环,深冷,观察,SiCp




核型,10,居群,Allium,大花,2C,个种,葱属,天蓝,峨眉




















Ga,age,Gaofan,detrital,Dongjiao,zircons,Palaeoproterozoic,meta,Hutuo,North






缺陷,出生,BDRank,研究,排序,人员,城市,使用,发生,实验

INVF,信息网络,组件,可视化,网络,实例,框架,理解,联网络,networks



































泛函,密度,实验,CH2BrCl,1200,eV,时价,Hartree,Fock,HF



proposed,vectors,vector,convergence,target,CR,parameters,DE,difference,adapting

cultivars,translocation,rates,anthesis,rice,yield,maturity,0.05,uptake,accumulation




QTLs,rice,time,tiller,conditional,stages,substitution,Tiller,influences,effective
QTLs,rice,traits,detected,SSSLs,agronomic,grain,segment,genetic,environmental


















洞室,加固,围岩,球面波,裂纹,毛洞,锚杆,动态,破坏,衰减

进水塔,有限元,ANSYS,SAP2000,桥为例,软件包,模态,建模,分析,结构














细胞骨架,miRNAs,中所起,细胞周期,重构,衰老,增值,调控,分子,信号








RET,change,variations,wind,annual,hydrological,processes,impact,climate,evapotranspiration
































































































纤维,螺旋,纺丝,变化趋势,无序,折叠,分数,电压,呈现出,吡咯烷酮
NPs,release,FU,prepared,loading,Fluorouracil,loaded,nanoparticles,speed,shearing



























城市,设计,项目,融贯,篇首,金广君,语中,生形,操作,控制技术




切除术,前方,拔管,术后,切开,气管,额侧,位喉,喉腔,声门






















particle,proposed,mode,filtering,clutter,filter,target,low,prior,origin
模型,故障诊断,仿真,算法,启动,Petri,MATLAB,Simulink,GUI,难以实现






























lightning,return,current,stroke,natural,triggered,field,kA,discharge,severe










全科医师,转岗,培训,远程教育,可及,网络平台,提供方便,社区卫生,我国,参差不齐
水印,失真,混沌,有损压缩,椒盐,logistic,数字水印,DCT,DC,HVS

图像,算法,水印,立体,Fourier,二值,混沌,映射,鲁棒性,ternary
图像,算法,水印,立体,Fourier,二值,混沌,映射,鲁棒性,ternary
图像,算法,水印,立体,Fourier,二值,混沌,映射,鲁棒性,ternary
LSB,加密,混沌,高维,攻击,体系,基于,实验,鲁棒性,低维
眨眼,视频,检测,算法,特征,睁眼,序列,提取,特征描述,正确率


passivity,input,output,impulsive,complex,networks,paper,investigate,class,time






SMV1,SMV3,参试,材料,株系,毒株,大豆,新品种,高抗,法对










CO2,埋存,全球,高效益,地下,21,低且,控制目标,储集层,油气藏
Tween80,吸附,土壤,组分,S1,S2,S3,S4,及其,增加

土壤,微生物,生化,强度,重金属,作用,理化,影响,性质,固氮作用
果酸,蒙花,甘松,消炎,抗菌,化合物,分离,谷甾醇,烷醇,Kanshone



水合物,试采,流化,多相,井筒,参数,流动,相平衡,施工,矿体
真菌,多样性,空气,塔克拉玛干沙漠,地区,相似性,群落,8.3%,41.9%,尉犁
降尘,大气,2008,沙尘,2005,2007,哈密,塔里木盆地,天气,铁干里克
奎屯河,径流量,重建,分析,变化,枯水期,突变,树轮,周期,379a9
潜热,四季,地表,沙漠,EOF,趋势,塔克拉玛干沙漠,尺度,春季,秋季
浓度,离子,TSP,观测站,铁干里克,民丰,塔中,SO24,16%,喀什

















血吸虫,基因组,基因,宿主,测序,日本,血吸虫病,寄生虫,寄生,序列













































stochastic,authors,vy,existence,control,study,differential,equations,uniqueness,optimal
optimal,control,selection,sufficient,maximum,principles,stochastic,systemwith,random,jumps



BDSDEs,theorem,paper,deal,dimensional,backward,doubly,stochastic,differential,equations







mAb,rHuEPO,specific,produce,erythropoietin,detection,F3,ELISA,IgM,Objective

折扣,搭配,成组,快餐,产品,实证,意愿,方式,消费者,模式
创业,国际,研究,理论,学术界,兴起,深入,学与,西方,发展
FDI,东道国,腐败,对外商,流入,来源国,腐败问题,直接,近十年,反腐败
绿色,本土,效应,跨国公司,本文,订单,层面,企业,比较显著,当期
知识,组织,获取,结构,维度,多元化,跨国企业,采用,扩张,相匹配
企业,知识,并购,获取,海外,中国,收购,Gupta,Govin,darajan
知识,转移,内部化,控制关系,差别,跨国公司,偏向,产权,频率,关系
跨国公司,服务型,全球,模块化,竞争,网络,模块,动力,合作,供应商
反补贴,对华,美国,措施,出口,实施,原因,产品,本文,市场经济
治理,机制,专用性,负面效应,情境,每种,深入研究,方面,梳理,四种
2012,工商联,美国公司,拓展,强推,企业会员,奈尔,10,16,11






























烃源岩,地球,有机质,生物学,埋藏,有机,方法,反演,生产力,过程
PAHs,enhanced,derived,pyrolytic,land,pyrene,combustion,anthropogenic,episodes,paleofire






土壤水分,土地利用,地表,尺度,植被,覆盖,及半,展开讨论,引言,分布
供应,龙岗区,土地,城市用地,城市化,人口预测,中起,性及,为例,2003
植被,覆盖,土地利用,季节,土壤,影响,地形,方式,类型,特征
林地,干燥度,地表,土地利用,草地,类型,湿润,农地,区域,水分
TVDI,地表水,季节,特征,VCI,Temperature,TCI,地表,指数,区域




















DOM,horizons,soil,electron,organic,approaches,profile,capacity,role,Electrochemical





pH,阳极,去除率,猪粪,产电,废水处理,氨氮,10,MFC,COD
local,vector,viruses,file,concentration,samples,classify,efficiently,virus,detection


































graphite,asphalt,carbon,fiber,test,binder,properties,conductive,aging,Rheological





















脂肪酸,C18,花生,基因,种子,C16,分析表明,含量,组成,第二类
基因,植酸,检测,作物,转植酸,PCR,质粒,安全监管,特异性,阳性
KCS6,酵母,表达,脂肪酸,甘蓝型,mRNA,99%,基因,超长,种子

质粒,基因组,分子,转基因,标准,定量,协同,线性相关,显著性,PCR
大鼠,剂量,血液学,bar,耐草胺,2.5%,5.0%,10.0%,90,喂饲
表达,GUS,基因,瞬间,杆菌,内含子,油菜,GUSint,体系,转化





















椎体,骨折,空腔,PKP,0.05,统计学,差异,骨质,疏松,疗效
水泥,Cortoss,甲基丙烯酸甲酯,抗弯,聚合,显著性,0.05,抗压,放热,生物力学
椎体,缺损,磷酸钙,水泥,模型,直径,mm,抗压强度,丝素,刚度
CSC,椎体,周时,PMMA,骨质,缺损,24,成形术,材料,生物力学








双语,教学,医学院校,教学质量,高素质,现实意义,简要,接轨,本科,需要






心肌细胞,ERK1,10,蛋白,3H,Leu,Flu,诱导,大鼠,预处理







气候灾害,发展中国家,应对,调查,灾害,监测,预警系统,南南合作,洪涝,抽样调查





分离,聚合物,微孔,诱导,制备,热致,致相,规相,分离法,基板




木质素,秸秆,菌株,降解,纤维素酶,玉米,达到,筛选,发酵,初筛
处理,纤维,超声波,羊毛,表面,氨基酸,蛋白,测试,纤维结构,测试表明
红虫,自来水,杀灭,毒性,二氧化氯,生物,过氧化氢,健康,试验,人体
朦胧,地下水,模拟,渗透系数,以灰,型灰元,灰性,贮水,建模,含水层
油菜,白菜,污染,白菜叶,Cd,Pb,Zn,Cu,冶炼,叶类
12.5%,聚糖,培养基,最适,优化,黑曲霉,其产酶,48,所产,645.66

VEGF,0.05,治疗,血清,自体,干细胞,糖尿病足,统计学,骨髓,移植
















正性,应激,重评,0.01,调节,认知,情绪,成长,军医大学,弹性
受体,HER2,肿瘤,生长因子,erbB2,neu,趋化因子,SDF,CXCR4,介导












南天山,造山带,地块,洋盆,塔里木,古生代,组成,地质,两侧,南北
造山带,中亚,矿集区,大陆,研究,增生,动力学,框架,973,2007CB411300
岩体,造山带,360Ma,增生,470,变形,花岗岩,阿尔泰,陆缘,俯冲
断裂带,位移,错断,泥盆纪,行走,花岗岩,阿尔皮,地质,解译,兴地
成矿,中亚,增生,改造,陆内,造山带,陆壳,作用,机理,多样
火山岩,碱性,洋盆,二叠,石炭世,古生代,天山,盆地,军山,由晚
火山岩,碱性,玄武岩,岩石,那拉提,岩化,粗安岩,钠质,具洋岛,南天山

拟态,眼斑,生态,昆虫,目丽,现生,脉翅目,多脉丽褐蛉,捕食者,现象








区域试验,增产,华油杂,821,24.57%,16.68%,性好,抗倒伏,稳产,中油



纯化,溶血,表达,猪链球菌,SLY,蛋白质,红细胞,序列,基因,产物
试验,药敏,鸡群,杀性,鸡场,氏杆菌,霍乱,病理变化,病原,生化
sly,序列,SS2,病猪,同源性,猪链球菌,29,HA9801,HA0507,JR0507
单胞菌,水气,致病性,菌株,水样,分离,南京市,基因,试验,检出率
囊素,免疫,仔猪,口蹄疫,疫苗,活疫苗,增重,对照组,O型,45
RT,PCR,扩增,凝胶,检疫,荧光,进境,ELISA,PRRSV,213
蛋白酶,检测,单胞菌,水气,脱脂乳,胞外,平板,产生,编码,生化
IMPDH,序列,血清型,同源性,34,100.0%,基因,次黄嘌呤,GenBank,核甘酸
























ClPyH,Cl,晶体结构,离子,化合物,氢键,卤素,结果表明,几何,结构


























调度,发电,电网,节能,广东,蓄能,模型,抽水,机组,节煤





腺嘌呤,质子化,异构体,基频,N9H,kJ,mol,振动,低能,稳定
SERS,纳米,粒子,增强,因子,粒径,632.8,nm,尺寸,激发
Chemistry,Engineering,Xiamen,team,composed,Tian,Zhongqun,Key,Laboratory,Physical


OC,CTX,0.0001,iPTH,iCa2,干预,水平,柠檬酸,抗凝剂,安慰剂




上下文,文中,微博,卷积,记忆,词序,网络,视角,文本,方法
模型,传感,采集,映射,联网,运行,场景,设备,基于,系统



















PTh,TiO2,dye,sensitized,solar,cell,nanocrystalline,absorption,fluorescence,circuit
SnO2,一维,锡粉,带状,薄膜,粒径,输运,复合,电子,纳米



花椒,跳甲,铜色,Iwao,幼虫,聚集,最适,抽样,种群,分布









CBD,系统,本文,智能,个体,人工,社会,基于,虚拟环境,适应

机械,笛卡尔,控制,能够,接触力,碰撞检测,柔顺,阻抗,实验,操作
食源性,疾病,暴发,2006,事件,监测网,患者,微生物,引起,分别

套袋,果肉,红肉桃,果实,花青,含量,采收,光照,糖酸,红色
青素,bkt,叶片,胡萝卜素,光氧化,Brookfield,Gala,Hyg,PCR,试管
IOD,矮化,还原性,氨基酸,含量,叶片,活性,树体,基因型,桃树
蔗糖,油桃,转化酶,果实,含量,曙光,发育,合酶,果糖,可溶性



樱桃,烟台,上海地区,原基,分化,雌蕊,红灯,地区,比例,先锋
key,RSA,N0,upper,bound,algorithm,private,292,theoretical,Boneh

协议,集合,包含,公钥,问题,计算,难解,加密,关系,应用
ms,猝死,高发区,人群,地区,对照,心电图,特征性,显著,普查





NDVI,SPAD,氮素,营养状况,叶绿素,氮肥,玉米,手持式,Greenseeker,施用量
抛撒,变量,施肥量,施肥,幅宽,撒肥,链条,肥料,拖拉机,输送
























type,harmonic,reducer,32,short,cylindrical,cup,shaped,flexspline,contact
重力,模拟,机械,优化,空间,装置,力矩,附加,各吊,补偿
机器人,六足,实时,模拟,驾驶,系统,仿真,硬件,驾驶员,对六足
负载,张角,调节器,制动器,摇臂,抬离,车轮,地面,各轮,测试





Hg,accumulation,rice,grain,cabbage,soil,types,concentrations,plants,soils














HHCB,musks,human,musk,MX,AHTN,milk,synthetic,MK,concentrations

PCBs,dismantling,gas,phase,waste,atmospheric,particles,TSP,particle,distribution















EGCG,RSV,TSG,Pue,Hela,毒性,提取物,大肠杆菌,浓度,作用






























回收,供应链,决策,制造商,逆向,模型,零售商,三级,销售价格,联盟
制造,回收,博弈,闭环,供应链,零售商,制造商,模糊,过程,算例
































生态系统,生态学,多样性,我国,南方,植物,修复,群落,生物,退化

HCV,HBV,HIV,HBsAg,感染,隐匿性,阴性,阳性,DNA,乙型肝炎
路径,临床,中医,建立,评价,医疗,疾病,中应,质量,阻塞性
HCV,HBV,HIV,阳性,hepatitis,0.05,感染,阴性,感染者,RNA
证素,肺证,弥漫性,间质,组合,虚证,疾病,证候,靶点,病位















废水,臭氧,中段,去除率,99.6%,制浆,色度,处理,效果显著,脱色
成本核算,医院,管理,管理水平,成效,本文,层次,揭示,深度,途径







洞库,水幕,储库,石洞,首座,地下,储存,地下水,技术,水封
悬沙,潮差,浓度,小潮,变化,相关系数,季节性,周期,相关性,大通
fault,deformation,Daofu,segment,Xianshuihe,segments,transition,south,pairs,stations
水分,旱稻,水稻,胁迫,营养,铵态氮,氮素,条件,硝态,pH
土壤,性钙,NH4Cl,NH4,2SO4,NH4NO3,石灰,交换,溶液,含量
订单,投放,方法,工艺,阈值,主流,负荷,兼顾,产品,生产
锐钛矿,Ag,催化剂,甲苯,降解,TiO2,金红石,制备,光催化,XRD
焙烧,凝胶,表面积,超声波,富马酸,OMS,高锰酸钾,时间,制备,影响
联盟,共生,供应链,界面,选择,互惠,盟主,机制,企业,双向交流
JIT,绩效,TQM,TPM,正向,企业,实施,影响,财务,运营
